customer_code,station_name,city,district,division,province,location,lat,lng,total_dus
102402,ZAFAR TRUCKING STN,RAHIMYARKHAN II,BAHAWALPUR,BWP,PUNJAB,NAT/H/W KM-621-622 GHAMI ZAFARABAD KLP ROAD SAJIR PUR RYK.,28.24008,69.94666,3
117763,SAHER PETROLEUM SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,CHAK NO. 173/P TEHSIL SADIQABAD RAHIM YAR KHAN,28.19599,70.06693,3
102413,AL-MEHAR PET SERVICE,RAHIMYARKHAN II,BAHAWALPUR,BWP,PUNJAB,CHAK-NO-197-P SAD-TGANG R-Y KHAN,28.13744,70.05074,3
115721,ROAD KING PETROLEUM PRIVATE LIMITED,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,KLP ROAD (N-5) AT CHAK NO 6/NP TEHSIL SADIQABAD,28.36562,70.16375,4
117970,AFZAL WARRAICH PETROLEUM SERVICE,SADIQABAD,RAHIM YAR KHAN,BWP,PUNJAB,RANJHAY KHAN KLP ROAD RAHIM YAR KHAN SADIQABAD,28.40433,70.19345,4
102453,PIR MOOSA NAWAB PETSER,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,BW KM 620-621 N.H.WAYCHAK NO 44/NPRAHIMYAR KHAN,28.24662,69.96414,4
113670,MUMTAZ CHANG P/S,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,"IN KM NO.1 ON SWETRA- DAUWALA-GUDDU ROAD, MAUZA MITHA DANDAM",28.36207,70.01188,4
116189,NEW BAJWA BROS P/S,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,"B/W KM NO. 15-16, ON SADIQABAD",28.43143,70.08361,3
102482,SHAHBAZ PET SERVICE,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KM11/12 SDB/J-DIN WALIRD MOUZA KOT MEHTABRAHMIRKHA,28.39912,70.08357,4
114535,JUNAID F/S,RAHIM YAR KHAN,BAHAWALPUR,BWP,PUNJAB,B/W KM NO. 16-17 ON AKRAMABD AMALDIN WALI ROAD AT MOUZA ROUTI,28.54241,70.09591,3
102582,DRIG PETROLIUM SER,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,RYK.SHAHBAZPUR ROADMOUZA MOHAMMAD NAWAZWARSA R.Y.K,28.41955,70.08618,3
